date,airline,origin,destination,departure_time,distance,arrival_delay,weather_condition,wind_speed,visibility,month,day,weekday,delayed
2024-01-05,6,9,5,629,664,24,0,9.622412325723968,8.672349961660142,1,5,4,1
2024-10-05,5,4,9,1351,2407,9,0,2.9274931875976358,9.908855844885998,10,5,5,0
2024-03-24,0,8,5,1321,1187,9,0,9.038867600493251,9.511946977427618,3,24,6,0
2024-04-22,3,3,5,629,563,-3,0,2.3358116062834706,7.460336932752634,4,22,0,0
2024-05-08,3,1,0,684,740,2,0,10.098218420333676,9.581133489580006,5,8,2,0
2024-10-10,5,10,11,1244,408,12,0,0.0590059632332473,7.189015265788863,10,10,3,0
2024-03-17,5,8,4,899,901,-5,0,11.09170505353167,7.900968547085437,3,17,6,0
2024-03-07,3,5,0,831,1880,-7,0,4.164474226393794,8.569299854885749,3,7,3,0
2024-02-22,6,2,11,1061,2256,28,0,2.2016888592870782,8.337956176384733,2,22,3,1
2024-08-27,5,6,2,1876,1833,45,0,13.22999685594234,8.941830149232484,8,27,1,1
2024-04-04,3,11,0,1525,1141,3,0,1.1027327244061595,8.009489111427655,4,4,3,0
2024-11-12,6,7,0,2298,1743,28,0,3.28003006989916,8.040156496434665,11,12,1,1
2024-06-23,3,0,3,1321,344,19,0,5.661531702945112,8.610203567844199,6,23,6,1
2024-02-28,1,9,3,999,1872,12,0,5.797266743244759,7.229528568245777,2,28,2,0
2024-07-03,5,1,6,1562,1975,-2,0,8.972334125449917,7.88278749174128,7,3,2,0
2024-01-22,2,11,9,1828,1515,19,0,0.9368947215593,7.0449474916417785,1,22,0,1
2024-12-18,6,7,8,803,1340,-2,0,9.021340890348643,8.900325484562186,12,18,2,0
2024-02-07,1,6,1,1807,1703,16,0,13.291281851179678,9.97167990094158,2,7,2,1
2024-01-05,6,2,0,1536,2129,32,1,21.79743682745421,2.14141713154295,1,5,4,1
2024-07-08,2,1,0,613,2122,4,0,14.442183231948055,8.807124203315649,7,8,0,0
2024-02-17,3,6,11,1788,1648,25,1,20.838678732631152,2.4954024601510016,2,17,5,1
2024-09-03,2,2,4,757,840,-6,0,6.436453782340808,7.672501685126235,9,3,1,0
2024-06-25,1,8,2,1205,699,6,0,11.144325433050003,8.210385643937395,6,25,1,0
2024-06-06,1,6,8,2126,1012,16,0,2.3885704470571048,9.085412736038943,6,6,3,1
2024-08-12,5,9,4,2181,1802,40,0,14.415850064386456,8.955928584974915,8,12,0,1
2024-02-02,0,11,7,1901,2032,49,1,19.008834586544307,2.7136851840195817,2,2,4,1
2024-07-02,3,2,1,979,1260,18,0,8.934554879895943,7.158538297403404,7,2,1,1
2024-01-19,2,10,2,654,878,-5,0,4.110421791857856,9.347734683432584,1,19,4,0
2024-12-08,4,1,11,1535,702,68,2,35.2042959608071,1.700596566454366,12,8,6,1
2024-01-29,3,1,4,1722,1603,-1,0,13.622763149580043,8.013071860705116,1,29,0,0
2024-04-20,4,9,2,2152,1245,18,0,6.253209309305116,9.21807323309263,4,20,5,1
2024-10-14,3,9,3,1221,1335,8,0,4.455530143184367,7.658963931355913,10,14,0,0
2024-02-10,3,11,10,1413,1682,12,0,9.079749772117273,8.92201063065687,2,10,5,0
2024-12-15,4,8,0,769,1116,17,1,24.32851265175387,3.5948057788407195,12,15,6,1
2024-09-13,6,4,7,992,2140,30,0,10.026046121829532,8.866578627863644,9,13,4,1
2024-04-07,4,6,11,728,1340,-4,0,7.317869487613223,9.767011143508936,4,7,6,0
2024-12-07,2,6,11,1099,1111,105,2,38.15536451580522,1.0577420189936917,12,7,5,1
2024-12-28,1,1,8,2140,1501,12,0,11.822166148640315,8.248189523907273,12,28,5,0
2024-04-07,6,5,8,533,2487,-4,0,11.11172983991069,8.780135232695645,4,7,6,0
2024-01-28,1,8,2,1929,343,61,0,12.948028275751536,9.34504631982244,1,28,6,1
2024-09-14,3,7,6,770,2220,-22,0,1.499181077384142,7.04799692214703,9,14,5,0
2024-02-16,4,11,6,1364,967,23,1,21.271733918900203,4.562686447600346,2,16,4,1
2024-04-17,2,9,7,800,1691,-7,0,2.503558219630955,7.57308834732807,4,17,2,0
2024-06-16,3,6,3,1583,1621,3,0,5.112254353914955,7.696113058466216,6,16,6,0
2024-12-29,6,11,0,1057,690,23,1,14.528502191914397,3.792923951649477,12,29,6,1
2024-03-05,0,4,6,1701,389,-2,0,1.6963667096536028,7.142403445370624,3,5,1,0
2024-12-08,4,7,0,1412,857,33,1,22.420321267390637,4.490670351255799,12,8,6,1
2024-06-18,4,8,9,819,836,-16,0,0.2505915610994813,9.052813902208497,6,18,1,0
2024-11-08,6,4,8,1252,759,1,0,0.0337899891000409,9.53632064133221,11,8,4,0
2024-11-20,6,3,4,1120,2317,18,0,0.94433102939684,9.092316769926954,11,20,2,1
2024-04-05,4,1,5,732,1831,-14,0,4.9228867734060096,8.407738835147132,4,5,4,0
2024-10-01,1,7,6,1831,1159,45,1,18.072979156545536,2.30317132707425,10,1,1,1
2024-05-07,0,3,2,920,946,0,0,10.534001680267428,7.372188213023351,5,7,1,0
2024-09-24,6,0,7,529,1025,13,0,0.3259806912093477,7.652739016967645,9,24,1,0
2024-11-15,0,8,3,562,2317,121,2,46.16160182387091,1.5032868387948488,11,15,4,1
2024-01-10,6,10,7,853,1868,3,1,11.362059412034348,2.226386674759362,1,10,2,0
2024-08-28,2,6,8,1883,2301,49,0,0.4327983339722485,7.673621440511289,8,28,2,1
2024-08-03,1,0,11,828,2024,12,0,8.16843392854594,9.319424557231866,8,3,5,0
2024-03-15,6,6,0,2217,1972,13,0,11.949425734438336,9.915932386908164,3,15,4,0
2024-06-22,6,9,2,1674,738,22,0,8.050716902131436,8.317652708394693,6,22,5,1
2024-02-26,2,2,6,2058,697,157,2,44.42806796979742,1.2876430105232486,2,26,0,1
2024-08-02,0,11,8,796,739,25,1,18.139137765973874,3.694535118101504,8,2,4,1
2024-12-22,4,3,2,1316,728,-15,0,6.379830245919369,8.210779810947134,12,22,6,0
2024-07-31,2,9,8,1063,2151,-1,0,6.9150044173174745,7.744711293731137,7,31,2,0
2024-12-25,6,0,4,891,1680,-4,0,12.563640620982891,9.685167507015317,12,25,2,0
2024-07-23,5,0,4,1362,1834,0,1,14.878608816701425,4.397727150144892,7,23,1,0
2024-11-27,6,1,5,1201,824,37,1,24.409969238768618,4.168878571737711,11,27,2,1
2024-02-04,2,10,9,1225,315,1,0,0.2417330719565713,9.271012139048532,2,4,6,0
2024-04-26,4,1,6,2058,1735,58,0,1.8519632387341445,9.055851286980968,4,26,4,1
2024-03-10,6,6,5,1427,2156,2,0,2.74086848610541,9.905576039127052,3,10,6,0
2024-11-22,0,9,11,791,2165,-6,0,2.000851650104065,7.074593523070152,11,22,4,0
2024-11-27,2,7,0,827,889,-1,0,11.728188970365172,9.370285252980556,11,27,2,0
2024-01-22,2,1,11,759,535,-15,0,8.08284328108111,8.082068896445081,1,22,0,0
2024-12-17,6,5,1,1549,1268,35,1,24.209319138976703,3.3261511194062017,12,17,1,1
2024-07-17,4,6,2,1609,1594,115,2,37.875829537930194,1.917585742673079,7,17,2,1
2024-06-10,0,7,9,1119,1135,37,1,15.923480843278256,2.531030634412514,6,10,0,1
2024-05-21,4,4,5,561,1498,-5,0,9.451572427243732,8.563034322918616,5,21,1,0
2024-12-20,3,1,11,844,937,23,0,4.0053142454717925,7.1712339784359145,12,20,4,1
2024-12-22,0,1,10,1977,955,81,2,27.735657873491256,1.7229486282343922,12,22,6,1
2024-09-09,3,3,1,1575,1468,42,0,1.6197305354286833,7.747431978084428,9,9,0,1
2024-11-24,2,4,9,1881,1725,72,0,12.32276505245226,8.676265637965386,11,24,6,1
2024-10-23,3,1,11,1241,1257,19,0,14.460904352687194,9.755176135747096,10,23,2,1
2024-10-10,6,9,3,600,2168,-6,0,10.63284419320392,8.64359790232125,10,10,3,0
2024-11-28,3,8,6,524,1152,-4,0,1.1126338554000466,7.642958501067881,11,28,3,0
2024-08-16,5,1,9,1941,1894,38,0,8.22940065755524,9.9167547780887,8,16,4,1
2024-05-09,0,9,6,696,1114,-13,0,8.22477870962074,7.402221483051022,5,9,3,0
2024-10-25,6,9,8,921,876,6,0,14.625871721844744,9.52767544104251,10,25,4,0
2024-11-10,4,0,8,1837,2106,24,0,14.52750775138608,8.381188510738198,11,10,6,1
2024-06-13,3,10,1,1025,1338,11,0,2.2033037326777043,8.46134951369578,6,13,3,0
2024-10-02,1,2,7,1960,1572,87,2,47.29529903831535,1.4830810900583176,10,2,2,1
2024-09-23,5,0,7,1160,1032,21,0,11.000052399067098,9.530054223409252,9,23,0,1
2024-04-18,3,10,5,1711,1867,16,0,14.042504757487048,8.317945638088823,4,18,3,1
2024-07-28,3,5,2,1237,992,1,0,9.792469378818948,7.425998215045843,7,28,6,0
2024-07-08,6,7,2,965,1247,41,1,19.078873922588564,4.950320347520133,7,8,0,1
2024-04-10,3,0,10,843,535,11,1,12.312454040097922,2.54818673440504,4,10,2,0
2024-06-11,2,5,0,794,683,-5,0,3.3279978099186835,9.585642929849234,6,11,1,0
2024-10-12,3,8,10,1948,2372,17,0,11.99126086786496,8.867949332384423,10,12,5,1
2024-03-17,6,11,2,505,1569,-16,0,1.0010244342346186,7.615542277863572,3,17,6,0
2024-11-20,1,1,4,1673,1926,18,0,0.5190933756505728,8.453043970909823,11,20,2,1
2024-12-27,6,6,7,1753,1398,21,0,5.311698578806288,8.374945892119204,12,27,4,1
2024-02-10,3,9,8,923,784,17,0,11.692830663533949,7.138388026756048,2,10,5,1
2024-10-08,5,6,1,2059,1163,49,1,17.647804697101442,3.9208082428967104,10,8,1,1
2024-06-05,2,3,5,1271,2094,31,1,19.955470483638027,4.969047555463656,6,5,2,1
2024-03-22,5,1,7,775,1223,2,0,12.980753029258008,7.6217137428439266,3,22,4,0
2024-03-09,1,1,2,892,2467,-5,0,2.827297983939625,9.834287777108534,3,9,5,0
2024-04-28,0,8,4,1232,390,14,0,2.4405787595927,8.251381575183302,4,28,6,0
2024-10-09,4,11,9,1801,933,30,0,7.25914855157428,9.372256148159057,10,9,2,1
2024-02-10,6,9,7,603,1922,18,0,10.284348892553885,8.049386418740522,2,10,5,1
2024-12-23,5,2,0,679,1421,-14,0,3.867363951809412,9.917870520514356,12,23,0,0
2024-02-18,5,6,0,1428,743,25,1,10.200904245907898,2.012123107741063,2,18,6,1
2024-05-04,4,0,9,1054,735,41,1,15.65735419928011,4.242659715439518,5,4,5,1
2024-12-07,4,6,8,1580,973,20,0,10.4524789249327,9.78921854976743,12,7,5,1
2024-07-10,3,8,4,1328,1683,12,0,13.312153479724778,8.084529571577164,7,10,2,0
2024-11-21,6,9,5,1348,2170,15,0,12.477279732814443,7.784023193630357,11,21,3,0
2024-03-08,6,1,4,2095,2074,11,0,2.367207311341746,7.970900776141515,3,8,4,0
2024-11-28,1,8,4,1714,882,134,2,34.1605134787096,0.6008818009122264,11,28,3,1
2024-02-16,6,4,8,2133,509,48,0,9.920085269667128,9.033611231945978,2,16,4,1
2024-10-28,5,9,4,966,2332,96,2,39.33626010969033,1.05699691326918,10,28,0,1
2024-06-26,3,3,0,1141,2136,137,2,43.25345169449712,0.5800407320139912,6,26,2,1
2024-06-22,3,2,9,1477,1266,0,0,5.256723044435018,9.216319896017104,6,22,5,0
2024-06-10,5,8,5,1840,360,106,2,44.28802812726191,1.2996913323982957,6,10,0,1
2024-01-31,1,6,4,823,1396,-5,0,10.336584150509584,7.740939421354736,1,31,2,0
2024-11-07,5,4,3,2008,2112,7,0,3.708835776959345,7.229812188296512,11,7,3,0
2024-04-25,0,5,0,2089,1477,23,0,8.425851330565221,7.426704169477098,4,25,3,1
2024-08-08,2,6,5,1822,443,118,2,25.02811901647112,0.8231555751568969,8,8,3,1
2024-09-01,5,6,5,787,1908,3,0,10.018306082330078,7.303037599534768,9,1,6,0
2024-11-24,1,2,11,1222,2392,13,0,10.27858324667294,8.660226812019479,11,24,6,0
2024-09-16,1,0,7,1212,1555,-1,0,11.804546859704644,9.341172219126408,9,16,0,0
2024-09-12,5,11,3,1980,1900,-6,0,7.93036537128706,7.524860476074737,9,12,3,0
2024-12-27,1,0,2,1732,1566,11,0,14.779434762413263,8.12888151478424,12,27,4,0
2024-11-24,3,1,3,1366,613,-1,0,1.1096770233540632,7.337273784375271,11,24,6,0
2024-01-29,3,7,11,1146,882,16,0,7.9052166107627535,8.733452865574126,1,29,0,1
2024-04-05,3,2,6,2258,2246,34,0,13.494234856285145,8.446486289389393,4,5,4,1
2024-05-29,4,9,3,624,1981,88,2,49.197163325554726,0.5967485558051846,5,29,2,1
2024-12-18,6,3,11,1470,1217,83,2,35.80583209117835,1.5515898772660308,12,18,2,1
2024-09-24,0,2,1,859,2081,67,2,28.758528222155785,1.979809426200799,9,24,1,1
2024-09-02,4,1,10,1526,451,2,0,12.933045230000166,9.035868066695205,9,2,0,0
2024-08-27,6,11,5,1499,2283,20,0,2.475916391179413,9.630269019933015,8,27,1,1
2024-09-09,2,8,10,1625,429,0,0,2.483916714503044,9.036377555438484,9,9,0,0
2024-12-23,0,2,5,1289,1770,1,0,13.982637478943026,8.696763780021353,12,23,0,0
2024-12-27,6,11,10,2044,335,44,1,21.961935384693124,2.805778959711897,12,27,4,1
2024-12-05,4,2,3,2074,1686,34,0,11.447813341163307,9.351583797335303,12,5,3,1
2024-04-14,0,9,2,1884,2395,30,0,7.9128252421982115,7.961749241444129,4,14,6,1
2024-04-26,1,7,0,1263,1446,-4,0,7.067902550306323,9.70584095730472,4,26,4,0
2024-05-07,6,1,10,1125,2190,10,0,12.501384157864896,9.86944727712091,5,7,1,0
2024-04-15,0,10,1,1559,1256,35,0,10.636465237811828,8.40539315512611,4,15,0,1
2024-06-17,2,7,5,1312,506,16,0,3.892552688181702,8.300045047032835,6,17,0,1
2024-05-10,3,6,3,1098,720,-6,0,0.8447594379034756,7.041463734204503,5,10,4,0
2024-10-13,1,3,2,657,1986,-2,0,11.71248489452562,8.584709163644659,10,13,6,0
2024-08-08,3,4,3,1519,2237,54,2,40.27149730643338,1.5112350246449573,8,8,3,1
2024-07-13,6,6,1,1717,1652,25,1,18.415638850778816,2.621300594823939,7,13,5,1
2024-02-01,3,0,2,2144,1255,39,1,17.89180420125117,4.335449011197204,2,1,3,1
2024-11-29,0,8,11,1991,841,7,0,0.4631457063312394,9.729088982148903,11,29,4,0
2024-11-12,4,5,3,1105,1974,60,2,31.978678358817334,1.3254711767536085,11,12,1,1
2024-07-03,6,5,6,2243,807,31,1,11.37081392695891,4.484341518551071,7,3,2,1
2024-06-08,4,6,8,1627,1775,32,0,7.2164814549537395,7.617101540776551,6,8,5,1
2024-02-18,4,2,3,994,938,1,0,5.610249297032233,7.586556487569783,2,18,6,0
2024-11-12,4,6,9,1408,1911,13,0,0.2422359944357033,7.215504940122037,11,12,1,0
2024-12-25,2,9,8,702,1228,-9,0,3.886948377036101,8.777630622112694,12,25,2,0
2024-04-02,6,2,0,562,1087,26,0,1.2650292162226302,9.178548016913984,4,2,1,1
2024-12-02,5,2,6,548,2128,-4,0,1.2198413676444608,8.649383430686546,12,2,0,0
2024-07-04,1,9,7,1093,1569,7,0,8.599481686008822,8.76242949337012,7,4,3,0
2024-11-15,4,9,4,871,1410,12,1,24.61440887739893,3.821290056102144,11,15,4,0
2024-03-16,0,6,9,834,2106,20,0,1.0276290575561835,8.47783495781837,3,16,5,1
2024-06-08,1,5,9,554,2327,23,0,8.491617444310874,9.836579652672588,6,8,5,1
2024-07-20,0,3,0,1517,1364,17,1,20.72985490767906,3.8177530582616335,7,20,5,1
2024-09-25,2,9,4,1043,1372,8,0,7.573418207082875,7.64822696080927,9,25,2,0
2024-05-04,5,0,6,1160,479,1,0,4.616261121272941,7.426800022119845,5,4,5,0
2024-12-08,6,6,8,944,2457,12,0,10.33533219752442,8.996719798624792,12,8,6,0
2024-08-16,2,11,7,1163,1158,-8,0,1.5011709299590232,8.403025489502207,8,16,4,0
2024-02-01,4,6,4,2153,1753,16,0,9.464405597147287,8.24698679303656,2,1,3,1
2024-03-24,1,1,3,1544,1032,18,0,2.526573073905002,8.514157509263539,3,24,6,1
2024-04-10,6,10,9,1554,778,38,1,15.6130267387121,4.409356958204578,4,10,2,1
2024-04-28,5,7,1,1344,2299,45,1,13.749313292721896,3.845875161784656,4,28,6,1
2024-01-23,0,2,8,2000,1499,21,0,4.92109838781381,8.409326676942888,1,23,1,1
2024-09-12,4,2,1,1396,1464,0,0,10.73330558683574,8.805191823630363,9,12,3,0
2024-03-05,2,8,0,1502,1325,-9,0,10.745320169362447,9.596064701064236,3,5,1,0
2024-03-15,0,10,0,702,1518,-11,0,8.599699809877931,7.301733001412822,3,15,4,0
2024-06-10,4,1,9,1750,1906,2,0,7.23129472374392,9.552781743061065,6,10,0,0
2024-08-27,4,0,10,693,681,19,0,5.479317179741076,9.410979764204775,8,27,1,1
2024-05-23,6,10,2,1306,1717,20,0,0.1837692133756069,8.148658613608461,5,23,3,1
2024-05-09,3,6,4,854,800,-1,0,10.782698535679469,8.158313410107702,5,9,3,0
2024-08-22,2,6,0,750,519,8,0,1.1894382366046523,7.851561154639107,8,22,3,0
2024-12-31,2,11,0,697,785,8,0,10.35957667654555,8.264214496297363,12,31,1,0
2024-09-03,1,4,9,2090,2378,54,0,7.316525905406792,9.026736499511491,9,3,1,1
2024-10-16,0,7,0,2244,2368,30,0,6.882386279991152,7.333456397384632,10,16,2,1
2024-07-31,4,2,1,541,1642,-17,0,10.490787046898935,8.524195189098355,7,31,2,0
2024-05-17,6,6,8,1567,1457,31,0,3.2237595468377767,8.341494366169254,5,17,4,1
2024-06-26,1,4,7,1265,1717,21,1,12.780303257677888,2.792949893447341,6,26,2,1
2024-04-09,1,11,3,868,504,12,1,18.492872119912487,2.28576241279903,4,9,1,0
2024-12-02,6,11,3,1132,2057,31,0,14.36621137343396,8.09479933785983,12,2,0,1
2024-09-02,0,2,5,1435,1529,95,2,47.27238057606256,1.722035430676763,9,2,0,1
2024-07-31,2,8,11,1873,1574,118,2,47.6444045491274,1.753198093003849,7,31,2,1
2024-05-02,4,3,7,1858,2408,51,1,13.828130911668964,3.5857783123382747,5,2,3,1
2024-09-08,4,2,8,815,576,3,0,1.6324507515947144,7.166900584972419,9,8,6,0
2024-09-15,5,9,1,2053,1945,24,1,16.937637611294754,4.259797531862953,9,15,6,1
2024-07-22,5,3,2,1433,1212,18,0,5.685221554746509,9.043878008692165,7,22,0,1
2024-10-31,6,11,8,830,1609,1,1,12.578351740911222,4.6827340303001135,10,31,3,0
2024-11-26,2,10,8,2239,1576,29,0,8.607006900014365,7.801889973371424,11,26,1,1
2024-08-14,1,3,5,728,2433,-4,0,7.190448345253599,8.864137792482175,8,14,2,0
2024-07-24,0,9,10,1121,2366,17,0,6.496720890914485,8.483245413745703,7,24,2,1
2024-01-16,1,10,5,859,437,-14,0,0.572906601261054,7.523346342156804,1,16,1,0
2024-11-09,1,11,3,1340,814,36,1,17.083542616656388,4.857581007503434,11,9,5,1
2024-09-15,6,8,11,1134,670,3,0,5.218085443216999,8.966140013967165,9,15,6,0
2024-06-26,1,3,9,1217,2444,-4,0,13.285951816732824,7.343302349721306,6,26,2,0
2024-06-05,0,4,8,833,551,12,0,12.38574988625224,8.536976510652037,6,5,2,0
2024-04-25,3,6,9,1527,1836,9,1,16.95527513373819,3.897010090323017,4,25,3,0
2024-11-17,4,3,2,1526,713,42,1,23.087649147022827,3.394974884353665,11,17,6,1
2024-12-25,4,1,6,2230,1868,7,0,7.964436156694974,9.601341589881075,12,25,2,0
2024-04-23,1,6,4,1587,1752,20,0,4.3196490824615,7.326555787618316,4,23,1,1
2024-10-19,4,4,6,2247,2037,60,0,1.826832676663509,8.3930976086803,10,19,5,1
2024-02-05,6,2,8,1569,2484,9,1,10.565539572162807,3.932711183323875,2,5,0,0
2024-03-28,4,3,5,1008,681,12,0,14.10974615289098,8.617855933567544,3,28,3,0
2024-01-03,5,9,11,1700,453,-2,0,4.647976421422016,8.832894959754814,1,3,2,0
2024-05-06,5,5,3,1407,2094,37,1,12.395106123299357,2.390898264820016,5,6,0,1
2024-11-04,6,5,7,1542,1179,25,1,18.21193177624445,2.018334339550157,11,4,0,1
2024-07-13,1,10,4,1267,458,102,2,38.58740578597393,1.776570854990425,7,13,5,1
2024-05-19,3,0,9,1883,1812,42,1,17.231472041623398,3.853231929187936,5,19,6,1
2024-05-31,5,9,5,2165,1106,48,0,9.03474920592118,7.5735812311972355,5,31,4,1
2024-04-27,4,4,10,571,776,2,0,7.975522229285897,9.370119110459026,4,27,5,0
2024-06-23,4,8,1,953,908,-6,0,6.047973843251585,7.86533701228206,6,23,6,0
2024-12-05,2,10,4,2103,1415,30,0,2.271952673592445,8.262145620595147,12,5,3,1
2024-04-15,1,6,9,1462,2434,14,0,5.380923449867174,9.038452188982472,4,15,0,0
2024-10-16,4,7,10,805,1248,24,0,8.016525788414139,7.813917335861048,10,16,2,1
2024-05-05,2,7,10,1023,1658,-1,0,4.226505057769033,7.5199362757679635,5,5,6,0
2024-01-16,5,0,11,1053,811,91,2,42.96674344959696,1.829253975816304,1,16,1,1
2024-12-04,4,2,9,2160,771,36,0,11.61283282685919,7.27540079753895,12,4,2,1
2024-01-21,5,10,0,1242,1338,2,0,2.2381363964239536,8.506524191553474,1,21,6,0
2024-12-04,0,1,9,1413,2275,2,0,10.912838008678042,9.041029179371552,12,4,2,0
2024-11-05,5,0,3,2176,429,103,2,37.41878639334432,1.155357468684704,11,5,1,1
2024-04-13,1,11,2,2109,2419,41,0,1.335381882034934,8.986498410398843,4,13,5,1
2024-12-03,3,7,1,2167,853,29,0,1.12931963955046,8.66766791672164,12,3,1,1
2024-12-12,3,4,5,1393,2307,20,0,2.474643415961289,9.51540157328422,12,12,3,1
2024-12-23,0,7,5,1394,1614,1,0,4.053424050248532,8.239560979816236,12,23,0,0
2024-03-31,5,4,8,1098,864,21,0,6.320330268150029,9.32241156955358,3,31,6,1
2024-12-09,4,9,3,514,2087,28,1,17.103481680669045,2.5708569154377514,12,9,0,1
